ActorName;Gender;"Actor's default image source"
Anthony Quinn;m;"https://m.media-amazon.com/images/M/MV5BMTY2MTAxMzIxMV5BMl5BanBnXkFtZTYwODc3OTE2._V1_UX214_CR0,0,214,317_AL_.jpg"
Edward G. Robinson;m;"https://m.media-amazon.com/images/M/MV5BMjE0NzcwMzU5Nl5BMl5BanBnXkFtZTYwNTkwMjI2._V1_UY317_CR18,0,214,317_AL_.jpg"
Jane Russell;f;"https://m.media-amazon.com/images/M/MV5BMTkyMjQwMDg2Ml5BMl5BanBnXkFtZTcwNDA1NDg1NA@@._V1_UY317_CR15,0,214,317_AL_.jpg"
Randolph Scott;m;"https://m.media-amazon.com/images/M/MV5BMTU1NjgyNDk3MV5BMl5BanBnXkFtZTYwMjAxMTM2._V1_UY317_CR15,0,214,317_AL_.jpg"
Frank Sinatra;m;"https://m.media-amazon.com/images/M/MV5BNTYzMzM2ODgzM15BMl5BanBnXkFtZTYwOTc5MzM2._V1_UY317_CR0,0,214,317_AL_.jpg"
James Stewart;m;"https://m.media-amazon.com/images/M/MV5BMjIwNzMzODY0NV5BMl5BanBnXkFtZTcwMDk3NDQyOA@@._V1_UY317_CR20,0,214,317_AL_.jpg"
Elizabeth Taylor;f;"https://m.media-amazon.com/images/M/MV5BMTQzMTc5MDg0OF5BMl5BanBnXkFtZTgwODE4NjMzNDE@._V1_UY317_CR21,0,214,317_AL_.jpg"
Shirley Temple;f;"https://m.media-amazon.com/images/M/MV5BMTcyNDQ0ODM0N15BMl5BanBnXkFtZTYwNDM5NjQ2._V1_UY317_CR3,0,214,317_AL_.jpg"
Gene Tierney;f;"https://m.media-amazon.com/images/M/MV5BMTIzNjUwOTMyOV5BMl5BanBnXkFtZTYwNjkwOTM2._V1_UY317_CR19,0,214,317_AL_.jpg"
Spencer Tracy;m;"https://m.media-amazon.com/images/M/MV5BMTIwNjE5NTc0OV5BMl5BanBnXkFtZTYwNDU5ODI2._V1_UY317_CR4,0,214,317_AL_.jpg"
John Wayne;m;"https://m.media-amazon.com/images/M/MV5BMTY1NDE0NzgzNl5BMl5BanBnXkFtZTcwNDMwMTUzNw@@._V1_UY317_CR12,0,214,317_AL_.jpg"
Raquel Welch;f;"https://m.media-amazon.com/images/M/MV5BNTAzOTU1MDA1N15BMl5BanBnXkFtZTYwMjQ4MjM2._V1_UY317_CR16,0,214,317_AL_.jpg"
Orson Welles;m;"https://m.media-amazon.com/images/M/MV5BOTE1Nzg5NzMwM15BMl5BanBnXkFtZTYwMDQwMTM2._V1_UY317_CR21,0,214,317_AL_.jpg"
Natalie Wood;f;"https://m.media-amazon.com/images/M/MV5BMTI3NjM5OTgxNF5BMl5BanBnXkFtZTYwOTg4NTM2._V1_UY317_CR2,0,214,317_AL_.jpg"
Gong Li;f;"https://m.media-amazon.com/images/M/MV5BMTk4MzMwMjc5NF5BMl5BanBnXkFtZTYwMDMyNzQz._V1_UX214_CR0,0,214,317_AL_.jpg"
Louis de Funès;m;"https://m.media-amazon.com/images/M/MV5BNDc5NTkyMDU4Nl5BMl5BanBnXkFtZTgwNzk0NTM1NTE@._V1_UY317_CR126,0,214,317_AL_.jpg"
Elena Koreneva;f;"https://m.media-amazon.com/images/M/MV5BOGY4ZGI5MzMtMTJkMy00ZDFhLWJiYzctMjU1ZWZjMTBkZTQwL2ltYWdlXkEyXkFqcGdeQXVyNjg3MTIwODI@._V1_UY317_CR98,0,214,317_AL_.jpg"
Richard Paul;m;"https://m.media-amazon.com/images/M/MV5BMjMxOTEyMDY1OV5BMl5BanBnXkFtZTgwMjc5MzQ2MjE@._V1_UY317_CR104,0,214,317_AL_.jpg"
Armin Mueller-Stahl;m;"https://m.media-amazon.com/images/M/MV5BMTM3MTI3NTk0OF5BMl5BanBnXkFtZTcwOTE3MDAxMw@@._V1_UY317_CR10,0,214,317_AL_.jpg"
Gérard Pirès;m;"https://m.media-amazon.com/images/M/MV5BYmY5NzY1MzMtNDdjZS00NzlhLThhMWItYmZiM2VjODFjZDcyXkEyXkFqcGdeQXVyMjg4MzIyNTU@._V1_UY317_CR5,0,214,317_AL_.jpg"
John Cleese;m;"https://m.media-amazon.com/images/M/MV5BMTQ1MTIzMzM1MF5BMl5BanBnXkFtZTYwNjQ3ODI1._V1_UY317_CR12,0,214,317_AL_.jpg"
